Year,Delineator,Total
1747,John Evelyn,2
1750,Richard van Bleeck,1
1750,George Vertue,1
1751,Thomas Ricketts,1
1752,George Vertue,1
1752,,1
1752,Smart Lethieullier and John Lydgate,1
1752,Charles Mitley,1
1753,unknown,2
1753,George Vertue,1
1754,George Vertue,1
1755,unknown,2
1756,George Vertue,1
1757,Arthur Pond and Richard Cosway,1
1758,,1
1763,James Basire the elder,1
1765,James Basire the elder,2
1765,Wenceslaus Hollar and unknown,2
1767,,1
1768,,1
1769,unknown,1
1770,Francis Cotes,1
1780,James Basire the elder,7
1784,John Carter,2
1786,,1
1786,John Carter,2
1786,George Vertue,2
1788,Catherine Downes,1
1788,Samuel Lysons,1
1789,Jacob Schnebbelie,9
1789,Adam de Cardonelle,2
n/a,,1
