Year,Director,Total
1718,John Talman,4
1720,John Talman,2
1721,John Talman,2
1723,John Talman,4
1724,John Talman,4
1725,John Talman,3
1726,William Bogdani,6
1727,William Bogdani,1
1729,William Bogdani,6
1730,William Bogdani,1
1731,William Bogdani,3
1732,William Bogdani,2
1733,William Bogdani,3
1734,William Bogdani,2
1735,William Bogdani,1
1736,William Bogdani,1
1737,William Bogdani,3
1738,William Bogdani,6
1739,William Bogdani,2
1740,Charles Frederick,1
1741,Charles Frederick,5
1742,Thomas Birch,1
1743,Thomas Birch,2
1744,Thomas Birch,3
1746,Thomas Birch,1
1747,John Ward,1
